Hora;temp1;temp2; vazao;tempCPU
19:58:02;28,50;29,56;2,91;45
19:58:04;29,06;29,06;2,91;45
19:58:05;29,06;29,56;2,73;45
19:58:07;29,06;29,56;2,91;45
19:58:08;29,06;29,56;2,91;45
19:58:10;28,94;29,56;2,73;45
19:58:12;28,44;29,69;2,91;45
19:58:13;29,00;29,5;2,91;45
19:58:15;28,94;29,62;2,73;45
19:58:17;28,56;29,69;2,91;45
19:58:18;28,94;29;2,91;45
19:58:20;29,00;29,56;2,73;45
19:58:21;28,94;29,56;2,91;45
19:58:23;28,50;29,56;2,91;45
19:58:25;29,19;29,75;2,73;45
19:58:26;29,12;29,56;2,91;45
19:58:28;28,50;29,56;2,73;45
19:58:29;29,19;29,06;2,91;45
19:58:31;29,06;29,62;2,91;45
19:58:33;29,06;29,56;2,91;45
19:58:34;29,00;29,56;2,73;45
19:58:36;28,50;29,5;2,91;45
19:58:38;28,56;29,62;2,91;45
19:58:39;28,50;29;2,73;45
19:58:41;29,12;29,56;2,91;45
19:58:42;29,06;29,06;2,91;45
19:58:44;29,06;29,56;2,73;45
19:58:46;29,06;29,62;2,91;45
19:58:47;29,06;29,62;2,91;45
19:58:49;29,06;29,62;2,73;45
19:58:50;28,56;29,06;2,91;46
19:58:52;29,00;29,56;2,91;46
19:58:54;28,37;29;2,73;46
19:58:55;29,19;29,06;2,91;46
19:58:57;29,06;29,56;2,73;46
19:58:58;29,06;29,56;2,91;46
19:59:00;29,12;29,56;2,91;46
19:59:02;29,06;29,56;2,91;46
19:59:03;28,56;29,56;2,73;46
19:59:05;29,06;29,56;2,91;46
19:59:07;29,06;29,5;2,73;46
19:59:08;29,06;29,62;2,91;46
19:59:10;29,12;29,5;2,91;46
19:59:11;29,06;29,06;2,73;46
19:59:13;29,00;29,62;2,91;46
19:59:15;29,06;29,06;2,91;46
19:59:16;28,50;29,56;2,73;46
19:59:18;28,56;29,06;2,91;46
19:59:19;28,50;29;2,91;46
19:59:21;29,00;29,62;2,73;46
19:59:23;29,00;29,62;2,91;46
19:59:24;29,00;29,69;2,91;46
19:59:26;29,00;29,06;2,73;46
19:59:28;29,00;29,06;2,91;46
19:59:29;29,00;29,56;2,91;46
19:59:31;28,44;29,5;2,91;46
19:59:32;28,50;29,56;2,73;46
19:59:34;29,00;29,62;2,91;46
19:59:36;28,44;29;2,91;46
19:59:37;29,00;29,5;2,73;46
19:59:39;29,00;29,56;2,91;46
19:59:40;29,06;29,62;2,91;46
19:59:42;29,06;29,56;2,91;46
19:59:44;29,12;29,5;2,73;46
19:59:45;29,00;29,56;2,91;46
19:59:47;29,00;29,56;2,91;46
;;;2,73;46
19:59:52;28,50;29,44;2,91;46
19:59:52;29,06;29,44;2,91;46
19:59:53;29,00;29;2,73;47
19:59:55;29,00;29,56;2,91;47
19:59:57;29,06;29,62;2,91;47
19:59:58;28,50;29;2,73;47
20:00:00;28,87;29,5;2,91;47
20:00:01;29,06;29,44;2,91;47
20:00:03;28,56;29,5;2,73;47
20:00:05;28,50;29,56;2,91;47
20:00:06;29,06;29,56;2,91;47
20:00:08;29,06;29,5;2,73;47
20:00:10;29,00;28,94;2,91;47
20:00:11;28,44;29,5;2,91;47
20:00:13;28,44;29,06;2,73;47
20:00:14;28,37;29,5;2,91;47
20:00:16;29,00;29;2,91;47
20:00:18;28,94;29,44;2,73;47
20:00:19;29,00;29,5;2,91;47
20:00:21;29,00;29,56;2,91;47
20:00:22;29,06;29,5;2,73;47
20:00:24;28,37;29,5;2,91;47
20:00:26;28,94;28,94;2,91;47
20:00:27;29,00;29,44;2,73;47
20:00:29;28,94;29,44;2,91;47
20:00:31;28,37;29,56;2,91;47
20:00:32;29,00;29,5;2,91;47
20:00:34;28,44;29,5;2,73;47
20:00:35;28,94;29,5;2,91;47
20:00:37;28,94;29,37;2,91;47
20:00:39;29,06;28,94;2,73;47
20:00:40;28,44;29,56;2,91;47
20:00:42;28,94;28,87;2,91;47
20:00:43;28,87;29,06;2,73;47
20:00:45;29,00;29,5;2,91;47
20:00:47;29,06;29,5;2,91;47
20:00:48;28,94;29,37;2,91;47
20:00:50;28,87;29,5;2,73;47
20:00:52;28,87;29,37;2,91;47
20:00:53;29,00;28,87;2,91;47
20:00:55;28,87;29,44;2,91;47
20:00:56;28,94;28,81;2,73;47
20:00:58;29,06;28,87;2,91;47
20:01:00;28,44;29,44;2,91;47
20:01:01;28,94;29,5;2,73;49
20:01:03;28,37;29,37;2,91;49
20:01:04;29,00;29;2,91;49
20:01:06;28,94;29,44;2,73;49
20:01:08;28,94;29,37;2,91;49
20:01:09;28,87;29,5;2,91;49
20:01:11;28,87;29,44;2,91;49
20:01:13;28,31;29,5;2,73;49
20:01:14;28,87;29,44;2,91;49
20:01:16;28,81;29,5;2,91;49
20:01:17;28,87;29,44;2,91;49
20:01:19;28,87;29,44;2,73;49
20:01:21;28,87;29,5;2,91;49
20:01:22;28,87;28,94;2,91;49
20:01:24;28,87;29,37;2,73;49
20:01:25;28,94;29,37;2,91;49
20:01:27;28,75;29,44;2,91;49
20:01:29;28,94;28,81;2,73;49
20:01:30;28,87;29,31;2,91;49
20:01:32;28,81;29,31;2,73;49
20:01:33;28,75;29,37;2,91;49
20:01:35;28,69;29,31;2,91;49
20:01:37;28,87;28,81;2,91;49
20:01:38;28,81;28,81;2,73;49
20:01:40;28,87;29,37;2,91;49
20:01:42;28,75;28,87;2,91;49
20:01:43;28,12;29,25;2,91;49
20:01:45;28,87;29,31;2,73;49
20:01:46;28,81;28,75;2,91;49
20:01:48;28,75;29,31;2,91;49
20:01:50;28,25;29,31;2,73;49
20:01:51;28,12;29,31;2,91;49
20:01:53;28,75;28,81;2,91;49
20:01:54;28,25;29,25;2,91;49
20:01:56;28,12;29,19;2,73;49
20:01:58;28,75;29,19;2,91;49
20:01:59;28,75;28,62;2,91;49
20:02:01;28,25;29,31;2,73;49
20:02:03;28,75;29,37;2,91;49
20:02:04;28,12;28,69;2,91;49
20:02:06;28,87;29,31;2,91;49
20:02:07;28,75;29,25;2,73;49
20:02:09;28,81;29,31;2,91;53
20:02:11;28,62;29,31;2,91;53
20:02:12;28,69;28,75;2,91;53
20:02:14;28,62;29,31;2,91;53
20:02:15;28,69;28,69;2,91;53
20:02:17;28,62;29,25;2,73;53
20:02:19;28,56;29,25;2,91;53
20:02:20;28,00;29,19;2,91;53
20:02:22;28,62;29,25;2,73;53
20:02:24;28,12;29,25;2,91;53
20:02:25;28,62;29,19;2,91;53
20:02:27;28,00;28,69;2,91;53
20:02:28;28,56;29,06;2,73;53
20:02:30;28,56;29,12;2,91;53
20:02:32;28,62;28,56;2,91;53
20:02:33;28,69;29,12;2,73;53
20:02:35;27,94;29,12;2,91;53
20:02:36;27,87;29,19;2,91;53
20:02:38;28,56;29,12;2,91;53
20:02:40;28,56;29,06;2,73;53
20:02:41;28,00;28,56;2,91;53
20:02:43;28,44;29,06;2,91;53
20:02:45;28,44;28,56;2,73;53
20:02:46;28,37;29;2,91;53
20:02:48;27,81;28,5;2,91;53
20:02:49;28,37;28,56;2,73;53
20:02:51;27,94;29;2,91;53
20:02:53;28,37;28,5;2,91;53
20:02:54;28,31;29,06;2,91;53
20:02:56;28,44;29,06;2,73;53
20:02:57;28,31;28,94;2,91;53
20:02:59;28,31;28,5;2,91;53
20:03:01;27,75;28,94;2,91;53
20:03:02;28,44;29,06;2,73;53
20:03:04;27,81;28,44;2,91;53
20:03:06;27,75;28,94;2,91;53
20:03:07;28,31;29;2,73;53
20:03:09;28,37;29;2,91;53
20:03:10;28,31;28,87;2,91;53
20:03:12;27,75;28,94;2,91;53
20:03:14;28,31;29;2,73;53
20:03:15;28,37;28,94;2,91;53
20:03:17;28,25;28,94;2,91;53
20:03:18;28,25;28,81;2,73;53
20:03:20;28,25;28,87;2,91;49
20:03:22;28,19;28,87;2,91;49
20:03:23;28,31;28,94;2,73;49
20:03:25;27,69;28,94;2,91;49
20:03:27;28,19;28,94;2,91;49
20:03:28;27,69;28,94;2,91;44
20:03:30;27,75;28,37;2,73;44
20:03:31;27,69;28,81;2,91;44
20:03:33;28,19;28,87;2,91;44
20:03:35;28,25;28,87;2,91;44
20:03:36;28,25;28,81;2,91;44
20:03:38;28,19;28,81;2,73;44
20:03:39;28,19;28,81;2,91;44
20:03:41;28,25;28,81;2,91;44
20:03:43;28,25;28,81;2,73;44
20:03:44;28,12;28,87;2,91;44
20:03:46;27,62;28,69;2,91;44
20:03:47;28,19;28,81;2,73;44
20:03:49;27,62;28,75;2,91;44
20:03:51;28,12;28,19;2,91;44
20:03:52;27,62;28,87;2,91;44
20:03:54;28,12;28,75;2,73;44
20:03:56;28,06;28,75;2,91;44
20:03:57;28,12;28,25;2,91;44
20:03:59;28,19;28,25;2,91;44
20:04:00;28,06;28,75;2,73;44
20:04:02;28,19;28,81;2,91;44
20:04:04;28,12;28,75;2,91;44
20:04:05;27,50;28,19;2,73;44
20:04:07;28,12;28,75;2,91;44
20:04:08;28,12;28,69;2,91;44
20:04:10;28,19;28,81;2,91;44
20:04:12;28,12;28,75;2,73;44
20:04:13;28,12;28,75;2,91;44
20:04:15;27,50;28,25;2,91;44
20:04:17;28,12;28,75;2,73;44
20:04:18;27,50;28,19;2,91;44
20:04:20;28,06;28,25;2,91;44
20:04:21;28,12;28,75;2,91;44
20:04:23;28,06;28,75;2,73;44
20:04:25;28,12;28,25;2,91;44
20:04:26;28,12;28,69;2,91;44
20:04:28;28,00;28,62;2,91;44
20:04:29;28,00;28,12;2,73;44
20:04:31;28,12;28,69;2,91;39
20:04:33;27,56;28,75;2,91;39
20:04:34;28,06;28,62;2,91;39
20:04:36;28,06;28,69;2,73;39
20:04:38;28,06;28,62;2,91;39
20:04:39;28,06;28,62;2,91;39
20:04:41;27,50;28,69;2,73;39
20:04:42;28,06;28,12;2,91;39
20:04:44;28,00;28,56;2,91;39
20:04:46;28,00;28,62;2,73;39
20:04:47;28,12;28,62;2,91;39
20:04:49;27,56;28,56;2,91;39
20:04:50;28,06;28,62;2,91;39
20:04:52;27,94;28,56;2,73;39
20:04:54;28,00;28,62;2,91;39
20:04:55;27,94;28,12;2,91;39
20:04:57;27,50;28,69;2,91;39
20:04:59;28,00;28,06;2,73;39
20:05:00;28,00;28,62;2,91;39
20:05:02;27,94;28,62;2,91;39
20:05:03;27,94;28,62;2,73;39
20:05:05;27,94;28,69;2,91;39
20:05:07;27,44;28,12;2,91;39
20:05:08;27,37;28,06;2,91;39
20:05:10;27,87;28,56;2,73;39
20:05:11;28,00;28,56;2,91;39
20:05:13;28,00;28,62;2,91;39
20:05:15;27,94;28,56;2,91;39
20:05:16;27,94;28,06;2,73;39
20:05:18;27,37;28;2,91;39
20:05:20;27,50;28,62;2,91;39
20:05:21;27,94;28,56;2,73;39
20:05:23;27,94;28,62;2,91;39
20:05:24;27,94;28,56;2,91;39
20:05:26;27,37;28,56;2,91;39
20:05:28;27,94;28,62;2,73;39
20:05:29;27,31;28,56;2,91;39
20:05:31;27,94;28,06;2,91;39
20:05:32;27,37;28,56;2,73;39
20:05:34;27,31;28,5;2,91;39
20:05:36;27,87;28,56;2,91;39
20:05:37;27,31;28,56;2,73;39
20:05:39;28,00;28,62;2,91;39
20:05:41;27,94;28,56;2,91;39
20:05:42;27,31;28;2,91;34
20:05:44;27,44;28,5;2,91;34
20:05:45;27,94;28,5;2,73;34
20:05:47;27,87;28,5;2,91;34
20:05:49;27,87;28;2,91;34
20:05:50;27,87;28,56;2,73;34
20:05:52;27,87;28,5;2,91;34
20:05:53;27,87;28,56;2,91;34
20:05:55;27,31;28,5;2,91;34
20:05:57;27,81;28,56;2,73;34
20:05:58;27,81;28,56;2,91;34
20:06:00;27,25;28,5;2,91;34
20:06:02;27,81;28,44;2,91;34
20:06:03;27,94;28,5;2,73;34
20:06:05;27,87;28,56;2,91;34
20:06:06;27,81;28;2,91;34
20:06:08;27,81;28,44;2,91;34
20:06:10;27,25;28,56;2,73;34
20:06:11;27,87;28,44;2,91;34
20:06:13;27,31;28,44;2,91;34
20:06:14;27,94;28,44;2,91;34
20:06:16;27,25;28,56;2,91;34
20:06:18;27,25;28,44;2,73;34
20:06:19;27,25;28,44;2,91;34
20:06:21;27,75;28,44;2,91;34
20:06:22;27,75;28,5;2,91;34
20:06:24;27,37;27,94;2,73;34
20:06:26;27,81;28,5;2,91;34
20:06:27;27,37;28,44;2,91;34
20:06:29;27,87;28,37;2,73;34
20:06:31;27,87;28,5;2,91;34
20:06:32;27,81;28,37;2,91;34
20:06:34;27,31;28,44;2,91;34
20:06:35;27,81;28,31;2,73;34
20:06:37;27,87;28,44;2,91;34
20:06:39;27,75;28,5;2,91;34
20:06:40;27,87;28,5;2,91;34
20:06:42;27,81;28,37;2,91;34
20:06:43;27,94;28,37;2,73;34
20:06:45;27,37;28,44;2,91;34
20:06:47;27,87;28,44;2,91;34
20:06:48;27,37;28,37;2,91;34
20:06:50;27,31;28,37;2,73;34
20:06:52;27,75;27,94;2,91;30
20:06:53;27,25;28,44;2,91;30
20:06:55;27,75;28,5;2,91;30
20:06:56;27,81;28,37;2,91;30
20:06:58;27,81;28,44;2,73;30
20:07:00;27,87;28,44;2,91;30
20:07:01;27,75;28,44;2,91;30
20:07:03;27,81;28,37;2,73;30
20:07:04;27,87;27,87;2,91;30
20:07:06;27,87;27,81;2,91;30
20:07:08;27,31;27,87;2,91;30
20:07:09;27,81;28,37;2,73;30
20:07:11;27,75;27,87;2,91;30
20:07:13;27,31;28,44;2,91;30
20:07:14;27,81;27,87;2,73;30
20:07:16;27,25;28,44;2,91;30
20:07:17;27,25;28,37;2,91;30
20:07:19;27,19;27,81;2,91;30
20:07:21;27,81;27,87;2,73;30
20:07:22;27,69;28,37;2,91;30
20:07:24;27,31;28,25;2,91;30
20:07:25;27,19;28,44;2,73;30
20:07:27;27,69;27,81;2,91;30
20:07:29;27,75;28,25;2,91;30
20:07:30;27,75;28,37;2,91;30
20:07:32;27,69;28,44;2,91;30
20:07:34;27,69;28,44;2,91;30
20:07:35;27,81;28,37;2,73;30
20:07:37;27,81;28,37;2,91;30
20:07:38;27,81;28,31;2,91;30
20:07:40;27,69;28,37;2,91;30
20:07:42;27,12;28,31;2,91;30
20:07:43;27,19;28,37;2,73;30
20:07:45;27,81;28,37;2,91;30
20:07:46;27,69;28,31;2,91;30
20:07:48;27,69;27,69;2,73;30
20:07:50;27,12;28,25;2,91;30
20:07:51;27,69;27,75;2,91;30
20:07:53;27,62;28,25;2,91;30
20:07:55;27,06;28,31;2,73;30
20:07:56;27,75;28,25;2,91;30
20:07:58;27,69;28,25;2,91;30
20:07:59;27,69;28,25;2,73;30
20:08:01;27,75;27,81;2,91;25
20:08:03;27,12;28,31;2,91;25
20:08:04;27,62;27,81;2,91;25
20:08:06;27,69;27,75;2,91;25
20:08:07;27,06;28,37;2,73;25
20:08:09;27,19;27,75;2,91;25
20:08:11;27,06;28,31;2,91;25
20:08:12;27,12;28,19;2,91;25
20:08:14;27,69;28,31;2,73;25
20:08:16;27,69;28,37;2,91;25
20:08:17;27,06;28,25;2,91;25
20:08:19;27,06;28,31;2,91;25
20:08:20;27,69;28,25;2,91;25
20:08:22;27,19;28,25;2,91;25
20:08:24;27,06;28,31;2,73;25
20:08:25;27,00;28,25;2,91;25
20:08:27;27,12;27,69;2,91;25
20:08:28;27,56;28,31;2,91;25
20:08:30;27,56;28,25;2,91;25
20:08:32;27,56;27,75;2,73;25
20:08:33;27,62;28,25;2,91;25
20:08:35;27,62;28,25;2,91;25
